1,3101957877924,nikola@gmail.com,000,Nikola,Nikolic,065729180,False
2,0809969726534,stefan@gmail.com,888,Stefan,Stefanovic,063271082,False
3,0607958676652,masa@gmail.com,777,Masa,Masic,064078652,False
4,83279875532,piske@gmail.com,111,Milos,Pisaric,987234785,True
5,2198484912,lala@gmail.com,111,Lala,Lala,09819587,False
6,81352418214,anja@gmail.com,111,Anja,Anjic,098214075,False
7,98187498478,luna@gmail.com,222,Luna,Lunic,09732671238,True
8,98738247983,jana@gmail.com,111,jana,jana,0218487421,False
9,812467421248,qqq@gmail.com,111,sad,das,281476412,False
10,213321213,mmmm@gmail.com,111,1,1,1,False
